rect	63	245	72	610
rect	1029	40	1392	55
rect	1029	40	1056	105
rect	282	80	309	180
rect	339	135	363	260
rect	1131	135	1167	480
rect	1167	425	1272	455
rect	1437	425	1503	455
rect	1485	370	1503	400
rect	1191	320	1503	370
rect	1350	240	1392	290
rect	1191	240	1392	260
rect	1248	190	1503	205
rect	1461	150	1503	190
rect	1452	205	1503	320
rect	1191	140	1335	160
rect	1326	85	1335	160
rect	1326	85	1392	120
rect	1365	40	1392	85
rect	1383	120	1392	160
rect	1383	150	1503	160
rect	393	195	1104	220
rect	393	195	402	310
rect	150	385	180	440
rect	267	385	366	440
rect	102	290	402	310
rect	753	255	780	450
rect	753	430	858	450
rect	525	240	780	255
rect	150	440	156	490
rect	150	470	441	495
rect	441	470	423	720
rect	354	570	441	605
rect	354	570	363	720
rect	144	670	441	680
rect	144	680	183	720
rect	183	710	441	720
rect	270	680	354	710
rect	144	720	156	775
rect	144	755	477	775
rect	465	765	573	780
rect	552	765	573	825
rect	564	720	573	765
rect	594	720	600	775
rect	594	765	738	775
rect	714	665	738	775
rect	504	485	573	525
rect	504	525	642	735
rect	594	480	792	495
rect	765	480	792	580
rect	642	525	735	550
rect	711	550	735	635
rect	792	525	942	535
rect	1167	550	1503	565
rect	1167	595	1503	620
rect	1488	565	1503	595
rect	1305	480	1395	510
rect	1485	480	1503	510
rect	1383	535	1503	550
rect	462	240	525	270
rect	462	270	504	455
rect	504	270	642	455
rect	564	455	573	485
rect	594	455	606	480
rect	1056	80	1191	105
rect	63	210	339	225
rect	1167	400	1503	425
rect	1167	455	1503	480
rect	1248	205	1269	240
rect	282	80	1029	105
rect	339	135	1167	160
rect	63	245	363	260
rect	63	595	318	610
rect	1080	510	1503	535
rect	102	290	117	565
rect	102	550	318	565
rect	309	550	318	610
rect	1080	195	1104	820
rect	711	610	876	635
rect	846	610	876	690
rect	714	665	876	690
rect	921	765	948	820
rect	921	800	1104	820
rect	771	765	948	780
rect	771	720	798	825
rect	552	805	798	825
rect	63	150	309	180
rect	462	455	477	775
rect	462	485	504	510
rect	462	565	504	605
rect	462	680	504	705
rect	354	640	441	670
rect	423	195	441	440
rect	150	385	441	400
rect	150	430	441	440
rect	63	150	78	225
rect	1167	550	1191	620
rect	1191	40	1218	370
rect	837	195	858	450
rect	918	195	942	535
rect	1299	290	1392	400
rect	765	565	942	580
rect	903	565	942	730
rect	771	720	942	730
rect	846	645	942	655
